Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
103,dmPFC,Null,93.20238228092845,0.0,0.0,1.0,0.0,0.0,0.0,0.7353461578479199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05299389200433324,3028699.548196425,0.0
103,vmPFC,Absolute,72.79970072520808,6.1997082722357755e-06,0.0,1.0,0.0,0.0,0.0,0.5865473933307946,0.12939349101700479,0.0,0.0,0.0,0.0,0.0,6.1997082722357755e-06,0.12939349101700479,0.0532897350039222,2886459.793807265,14.603434947319329
103,OFCmed,Absolute,71.60000807436947,7.812347695461899e-06,0.0,1.0,0.0,0.0,0.0,0.57458412734635,0.12674557392237815,0.0,0.0,0.0,0.0,0.0,7.812347695461899e-06,0.12674557392237815,0.05376014000099383,2874629.639883795,15.938441517297179
103,dmPFC,Absolute,92.76575194614905,-1.5951986160832469e-06,0.0,1.0,0.0,0.0,0.0,0.7514761523871766,0.16577744997259772,0.0,0.0,0.0,0.0,0.0,-1.5951986160832469e-06,0.16577744997259772,0.05296488081142792,3028719.9095069775,20.36131055234
103,vmPFC,Relative,8.016827591827159,21.176034865858625,-21.176035055891383,1.0,0.0,0.0,0.0,1.3050471948748803,0.22689824719183732,0.24324297068343234,0.0,0.0,0.0,0.0,-1.9003275752993432e-07,0.1238079151625654,0.08906275831968102,2875414.032572327,-11031.157799990382
103,OFCmed,Relative,7.784424326868449,20.94765387296493,-20.94768484023855,1.0,0.0,0.0,0.0,1.3435371803140994,0.2214183103935517,0.24862754474008866,0.0,0.0,0.0,0.0,-3.0967273620063906e-05,0.139895555458334,0.09047440578154664,2863281.3566659116,-11332.344776365906
103,dmPFC,Relative,5.901742151071909,28.038617026913922,-28.03865768468437,1.0,0.0,0.0,0.0,1.7550374413289997,0.2895198722422401,0.3247658238412329,0.0,0.0,0.0,0.0,-4.065777044814922e-05,0.1824273925690778,0.09024175921534283,3017203.887286832,-11495.660909593105
104,vmPFC,Null,20.34366489166843,0.0,0.0,1.0,0.0,0.0,0.0,0.22595830824374424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027401578511052627,2356894.943400532,0.0
104,OFCmed,Null,18.048016563377715,0.0,0.0,1.0,0.0,0.0,0.0,0.18315319925613902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03264317800961225,2236053.4929835103,0.0
104,dmPFC,Null,27.4523374946883,0.0,0.0,1.0,0.0,0.0,0.0,0.34089672056463555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02207708915384332,2593499.691720276,0.0
104,vmPFC,Absolute,21.25433729714964,3.330982646838694,0.0,1.0,0.0,0.0,0.0,0.22216422348305861,0.03267457319000541,0.0,0.0,0.0,0.0,0.0,3.330982646838694,0.03267457319000541,0.06130944087977974,2346698.0751037616,-10196.868296770379
104,OFCmed,Absolute,18.83367405395442,2.873713370147064,0.0,1.0,0.0,0.0,0.0,0.17964523258314227,0.026421136618437886,0.0,0.0,0.0,0.0,0.0,2.873713370147064,0.026421136618437886,0.07084889863472066,2224472.6945397323,-11580.798443777952
104,dmPFC,Absolute,28.68077455580572,4.493275640790849,0.0,1.0,0.0,0.0,0.0,0.33638467087193435,0.049473427255299476,0.0,0.0,0.0,0.0,0.0,4.493275640790849,0.049473427255299476,0.04933251498574853,2585379.5574705624,-8120.1342497137375
104,vmPFC,Relative,13.291227731808263,9.57636056308029,-7.798278522606856,1.0,0.0,0.0,0.0,0.23080466442101918,0.06504302481238919,0.061176836950159325,0.0,0.0,0.0,0.0,1.778082040473433,0.030543163351908518,0.09565129803072536,2335987.5626451853,-20907.380755346734
